dataset,type,model_file,threshold,lobes,sites,avg_fps,render_output_dir,base_model_dir,mean_culled_gaussians,culled_gaussians_percent,SSIM,FLIP,baseline_avg_fps,fps_delta_vs_baseline,fps_speedup_vs_baseline,fps_percent_change_vs_baseline,config_value,config_label,quality_preserving,utility_score
drums,SV,sv_s8_t0_01_temp5.npz,0.9,,8.0,367.18,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,215605.11,63.99,0.984,0.0222,241.58333333333331,125.59666666666669,1.5198896171093481,51.98896171093481,8.0,sites=8,False,1.815909090909091
lego,BASELINE,no_culling,0.0,,,234.9666666666667,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51\baseline_benchmark,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,0.0,0.0,1.0,0.0,234.9666666666667,0.0,1.0,0.0,0.0,no culling,True,1.7113636363636364
lego,SG,sg_l6_t0_01.npz,0.1,6.0,,258.15,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_6\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,76733.98,24.35,1.0,0.0008,234.9666666666667,23.18333333333328,1.098666477514541,9.866647751454094,6.0,lobes=6,True,1.9204545454545454
lego,SG,sg_l10_t0_01.npz,0.1,10.0,,243.82,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,83854.63,26.61,1.0,0.0008,234.9666666666667,8.853333333333296,1.0376791034189246,3.7679103418924553,10.0,lobes=10,True,1.865909090909091
lego,SG,sg_l6_t0_01.npz,0.2,6.0,,270.4,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_6\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,100135.66,31.77,1.0,0.0013,234.9666666666667,35.43333333333328,1.1508015321322171,15.080153213221713,6.0,lobes=6,True,2.0454545454545454
lego,SG,sg_l10_t0_01.npz,0.2,10.0,,254.75,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,105599.81,33.51,1.0,0.0013,234.9666666666667,19.783333333333303,1.0841963399063697,8.419633990636965,10.0,lobes=10,True,1.9068181818181817
lego,SG,sg_l10_t0_01.npz,0.3,10.0,,263.12,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,119301.51,37.85,1.0,0.0018,234.9666666666667,28.153333333333308,1.1198184139594267,11.981841395942672,10.0,lobes=10,True,1.9636363636363636
lego,SG,sg_l4_t0_01.npz,0.3,4.0,,278.26,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,107938.38,34.25,1.0,0.0019,234.9666666666667,43.293333333333294,1.1842530855440485,18.42530855440485,4.0,lobes=4,True,2.0545454545454547
lego,SG,sg_l10_t0_01.npz,0.4,10.0,,270.74,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,130164.49,41.3,1.0,0.0024,234.9666666666667,35.77333333333331,1.1522485458930343,15.224854589303426,10.0,lobes=10,True,2.040909090909091
lego,SG,sg_l4_t0_01.npz,0.4,4.0,,290.06,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,121943.65,38.69,0.999,0.0028,234.9666666666667,55.093333333333305,1.2344729748900551,23.447297489005514,4.0,lobes=4,True,1.759090909090909
lego,SG,sg_l10_t0_01.npz,0.5,10.0,,276.96,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,139972.07,44.41,0.999,0.0033,234.9666666666667,41.99333333333328,1.178720385870336,17.87203858703359,10.0,lobes=10,True,1.731818181818182
lego,SG,sg_l4_t0_01.npz,0.5,4.0,,299.25,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,134517.36,42.68,0.999,0.0041,234.9666666666667,64.2833333333333,1.2735849056603772,27.35849056603772,4.0,lobes=4,True,1.7954545454545456
