dataset,type,model_file,threshold,lobes,sites,avg_fps,render_output_dir,base_model_dir,mean_culled_gaussians,culled_gaussians_percent,SSIM,FLIP,baseline_avg_fps
lego,SG,sg_l10_t0_01.npz,0.2,10.0,,254.75,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,105599.81,33.51,1.0,0.0013,234.9666666666667
lego,SG,sg_l10_t0_01.npz,0.3,10.0,,263.12,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,119301.51,37.85,1.0,0.0018,234.9666666666667
lego,SG,sg_l10_t0_01.npz,0.4,10.0,,270.74,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,130164.49,41.3,1.0,0.0024,234.9666666666667
lego,SG,sg_l10_t0_01.npz,0.5,10.0,,276.96,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,139972.07,44.41,0.999,0.0033,234.9666666666667
lego,SG,sg_l10_t0_01.npz,0.6,10.0,,289.19,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,149584.91,47.46,0.998,0.0048,234.9666666666667
lego,SG,sg_l10_t0_01.npz,0.7,10.0,,300.34,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,159725.48,50.68,0.996,0.0075,234.9666666666667
lego,SG,sg_l10_t0_01.npz,0.8,10.0,,312.56,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,171466.65,54.41,0.992,0.0126,234.9666666666667
lego,SG,sg_l10_t0_01.npz,0.9,10.0,,333.72,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_10\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,187801.38,59.59,0.979,0.025,234.9666666666667
lego,SG,sg_l4_t0_01.npz,0.1,4.0,,255.36,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,64996.62,20.62,1.0,0.0008,234.9666666666667
lego,SG,sg_l4_t0_01.npz,0.2,4.0,,267.81,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,90389.4,28.68,1.0,0.0013,234.9666666666667
